readout_gene,readout_class,replicate,assay,target_gene,day,shrna,bias,num_reads,cell_density,extra_umi
H2-Ea-ps,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,1,56,DIFFUSE DEAD,
H2-Ea-ps,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,1,90,DIFFUSE DEAD,
H2-Ea-ps,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,1,356,DIFFUSE SOME CLUMPS,
Hdlbp,BAE,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,NA,0,DIFFUSE DEAD,
Hdlbp,BAE,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,NA,0,DIFFUSE DEAD,
Hdlbp,BAE,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,NA,0,DIFFUSE SOME CLUMPS,
Mecp2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,1,3,DIFFUSE DEAD,
Mecp2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,1,11,DIFFUSE DEAD,
Mecp2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,1,45,DIFFUSE SOME CLUMPS,
Ncam2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,NA,0,DIFFUSE DEAD,
Ncam2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,0,1,DIFFUSE DEAD,
Ncam2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,0,6,DIFFUSE SOME CLUMPS,
Pea15a,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,0.833333333,6,DIFFUSE DEAD,
Pea15a,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,0.916666667,12,DIFFUSE DEAD,
Pea15a,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,0.892857143,56,DIFFUSE SOME CLUMPS,
Phka2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,1,2,DIFFUSE DEAD,
Phka2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,1,2,DIFFUSE DEAD,
Phka2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,1,17,DIFFUSE SOME CLUMPS,
Pola1,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,1,1,DIFFUSE DEAD,
Pola1,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,1,5,DIFFUSE DEAD,
Pola1,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,1,9,DIFFUSE SOME CLUMPS,
Sash1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,1,4,DIFFUSE DEAD,
Sash1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,1,4,DIFFUSE DEAD,
Sash1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,1,20,DIFFUSE SOME CLUMPS,
Smtnl2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,0,2,DIFFUSE DEAD,
Smtnl2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,0,1,DIFFUSE DEAD,
Smtnl2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,0,2,DIFFUSE SOME CLUMPS,
Spire1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,NA,0,DIFFUSE DEAD,
Spire1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,NA,0,DIFFUSE DEAD,
Spire1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,1,2,DIFFUSE SOME CLUMPS,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,NA,0,DIFFUSE DEAD,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,0,1,DIFFUSE DEAD,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,0.555555556,9,DIFFUSE DEAD,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,NA,0,DIFFUSE DEAD,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,0,1,DIFFUSE DEAD,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,0,7,DIFFUSE DEAD,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,NA,0,DIFFUSE DEAD,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,0,1,DIFFUSE DEAD,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,0,3,DIFFUSE DEAD,
Casd1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,NA,0,DIFFUSE DEAD,
Casd1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,0,1,DIFFUSE DEAD,
Casd1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,0,16,DIFFUSE DEAD,
Ccnj,BAE,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,1,1,DIFFUSE DEAD,
Ccnj,BAE,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,1,1,DIFFUSE DEAD,
Ccnj,BAE,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,0.555555556,9,DIFFUSE DEAD,
Col6a5,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,NA,0,DIFFUSE DEAD,
Col6a5,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,1,1,DIFFUSE DEAD,
Col6a5,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,0.454545455,22,DIFFUSE DEAD,
Dnajc12,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,NA,0,DIFFUSE DEAD,
Dnajc12,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,1,3,DIFFUSE DEAD,
Dnajc12,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,1,20,DIFFUSE DEAD,
Fam217b,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,NA,0,DIFFUSE DEAD,
Fam217b,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,NA,0,DIFFUSE DEAD,
Fam217b,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,NA,0,DIFFUSE DEAD,
H2-Ea-ps,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,1,40,DIFFUSE DEAD,
H2-Ea-ps,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,1,34,DIFFUSE DEAD,
H2-Ea-ps,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,1,298,DIFFUSE DEAD,
Hdlbp,BAE,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,NA,0,DIFFUSE DEAD,
Hdlbp,BAE,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,NA,0,DIFFUSE DEAD,
Hdlbp,BAE,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,NA,0,DIFFUSE DEAD,
Mecp2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,NA,0,DIFFUSE DEAD,
Mecp2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,NA,0,DIFFUSE DEAD,
Mecp2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,1,10,DIFFUSE DEAD,
Ncam2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,NA,0,DIFFUSE DEAD,
Ncam2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,NA,0,DIFFUSE DEAD,
Ncam2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,0,6,DIFFUSE DEAD,
Pea15a,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,0.8,5,DIFFUSE DEAD,
Pea15a,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,1,3,DIFFUSE DEAD,
Pea15a,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,0.914285714,35,DIFFUSE DEAD,
Phka2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,NA,0,DIFFUSE DEAD,
Phka2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,NA,0,DIFFUSE DEAD,
Phka2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,NA,0,DIFFUSE DEAD,
Pola1,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,NA,0,DIFFUSE DEAD,
Pola1,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,1,1,DIFFUSE DEAD,
Pola1,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,1,10,DIFFUSE DEAD,
Sash1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,1,1,DIFFUSE DEAD,
Sash1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,NA,0,DIFFUSE DEAD,
Sash1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,1,17,DIFFUSE DEAD,
Smtnl2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,NA,0,DIFFUSE DEAD,
Smtnl2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,NA,0,DIFFUSE DEAD,
Smtnl2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,0,3,DIFFUSE DEAD,
Spire1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,20uM,NA,0,DIFFUSE DEAD,
Spire1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,10uM,NA,0,DIFFUSE DEAD,
Spire1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,28,1uM,1,1,DIFFUSE DEAD,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,35,20uM,NA,0,DIFFUSE DARK,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,35,10uM,1,1,DIFFUSE DARK,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,35,1uM,1,15,DIFFUSE DARK,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,35,20uM,NA,0,DIFFUSE DARK,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,35,10uM,NA,0,DIFFUSE DARK,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,35,1uM,0,5,DIFFUSE DARK,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,35,20uM,NA,0,DIFFUSE DARK,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,35,10uM,NA,0,DIFFUSE DARK,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,35,1uM,0,1,DIFFUSE DARK,
Casd1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,35,20uM,0,4,DIFFUSE DARK,
Casd1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,35,10uM,0,2,DIFFUSE DARK,
Casd1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,35,1uM,0,19,DIFFUSE DARK,
Ccnj,BAE,2,no-UMI,5-Aza-2-deoxycytidine,35,20uM,NA,0,DIFFUSE DARK,
Ccnj,BAE,2,no-UMI,5-Aza-2-deoxycytidine,35,10uM,0.75,4,DIFFUSE DARK,
